input_text,target_text,success,semSR
a baseball player wearing number 10 hitting a ball.,a baseball player wearing number 1 hitting a ball.,0,0
a baseball player wearing number 10 hitting a ball.,a baseball player wearing number 2 hitting a ball.,0,1.334399398
a baseball player wearing number 10 hitting a ball.,a baseball player wearing number 4 hitting a ball.,0,9.665935201
a baseball player wearing number 10 hitting a ball.,a baseball player wearing number 5 hitting a ball.,0,-12.61667043
a baseball player wearing number 10 hitting a ball.,a baseball player wearing number 6 hitting a ball.,0,7.719981501
a bench next to three potted plants.,a bench next to five potted plants.,0,3.337101661
a bench next to three potted plants.,a bench next to four potted plants.,0,-14.48776956
a bench next to three potted plants.,a bench next to seven potted plants.,0,3.774579437
a bench next to three potted plants.,a bench next to six potted plants.,0,-6.569123042
a bench next to three potted plants.,a bench next to two potted plants.,0,6.492854241
a polar bear is walking on snow and has one paw up in the air.,a polar bear is walking on snow and has five paw up in the air.,0,0.81729618
a polar bear is walking on snow and has one paw up in the air.,a polar bear is walking on snow and has four paw up in the air.,0,10.9192941
a polar bear is walking on snow and has one paw up in the air.,a polar bear is walking on snow and has six paw up in the air.,0,18.49267417
a polar bear is walking on snow and has one paw up in the air.,a polar bear is walking on snow and has three paw up in the air.,0,21.21441706
a polar bear is walking on snow and has one paw up in the air.,a polar bear is walking on snow and has two paw up in the air.,0,7.525618629
a small pizza cut in six sits on a plate.,a small pizza cut in five sits on a plate.,0,8.95061657
a small pizza cut in six sits on a plate.,a small pizza cut in four sits on a plate.,0,-6.213608925
a small pizza cut in six sits on a plate.,a small pizza cut in one sits on a plate.,0,-2.616068061
a small pizza cut in six sits on a plate.,a small pizza cut in three sits on a plate.,0,-4.014530314
a small pizza cut in six sits on a plate.,a small pizza cut in two sits on a plate.,0,-17.88271141
a table topped with six glasses of booze.,a table topped with five glasses of booze.,0,11.62117475
a table topped with six glasses of booze.,a table topped with four glasses of booze.,0,3.269408272
a table topped with six glasses of booze.,a table topped with seven glasses of booze.,0,16.63683858
a table topped with six glasses of booze.,a table topped with three glasses of booze.,0,3.145970494
a table topped with six glasses of booze.,a table topped with two glasses of booze.,0,2.539857909
a tray with four different types of food.,a tray with eight different types of food.,0,-5.226457364
a tray with four different types of food.,a tray with five different types of food.,0,0.754776265
a tray with four different types of food.,a tray with six different types of food.,0,-5.11669955
a tray with four different types of food.,a tray with three different types of food.,0,19.46047609
a tray with four different types of food.,a tray with two different types of food.,0,1.01134387
a white bed set with seven soft pillows.,a white bed set with eight soft pillows.,0,-2.045083969
a white bed set with seven soft pillows.,a white bed set with four soft pillows.,0,-36.17295105
a white bed set with seven soft pillows.,a white bed set with six soft pillows.,0,3.375700886
a white bed set with seven soft pillows.,a white bed set with three soft pillows.,0,8.596724601
a white bed set with seven soft pillows.,a white bed set with two soft pillows.,0,9.775664949
a white bowl with seven naval oranges next to a stack of plates.,a white bowl with five naval oranges next to a stack of plates.,0,-3.121856438
a white bowl with seven naval oranges next to a stack of plates.,a white bowl with four naval oranges next to a stack of plates.,0,9.444304397
a white bowl with seven naval oranges next to a stack of plates.,a white bowl with six naval oranges next to a stack of plates.,0,-11.17955651
a white bowl with seven naval oranges next to a stack of plates.,a white bowl with three naval oranges next to a stack of plates.,0,-1.214859036
a white bowl with seven naval oranges next to a stack of plates.,a white bowl with two naval oranges next to a stack of plates.,0,3.979163135
five matching teddy bears are laying on the bed.,eight matching teddy bears are laying on the bed.,0,4.013451044
five matching teddy bears are laying on the bed.,four matching teddy bears are laying on the bed.,0,2.256023908
five matching teddy bears are laying on the bed.,six matching teddy bears are laying on the bed.,0,1.703404269
five matching teddy bears are laying on the bed.,three matching teddy bears are laying on the bed.,0,1.69716785
five matching teddy bears are laying on the bed.,two matching teddy bears are laying on the bed.,0,0.534200181
five sheep are grazing on a hill in the green grass.,four sheep are grazing on a hill in the green grass.,0,1.841678322
five sheep are grazing on a hill in the green grass.,seven sheep are grazing on a hill in the green grass.,0,-2.981884118
five sheep are grazing on a hill in the green grass.,six sheep are grazing on a hill in the green grass.,0,5.303702116
five sheep are grazing on a hill in the green grass.,three sheep are grazing on a hill in the green grass.,0,1.153312135
five sheep are grazing on a hill in the green grass.,two sheep are grazing on a hill in the green grass.,0,-6.275741311
four apples sitting in a bowl viewed from above.,five apples sitting in a bowl viewed from above.,0,-3.443131917
four apples sitting in a bowl viewed from above.,seven apples sitting in a bowl viewed from above.,0,0.143747294
four apples sitting in a bowl viewed from above.,six apples sitting in a bowl viewed from above.,0,-1.493974613
four apples sitting in a bowl viewed from above.,three apples sitting in a bowl viewed from above.,0,8.893485776
four apples sitting in a bowl viewed from above.,two apples sitting in a bowl viewed from above.,0,15.90108098
one brown cow sitting on top of the rocky ground.,five brown cow sitting on top of the rocky ground.,1,0.340089339
one brown cow sitting on top of the rocky ground.,four brown cow sitting on top of the rocky ground.,1,1.282761742
one brown cow sitting on top of the rocky ground.,six brown cow sitting on top of the rocky ground.,0,1.450505987
one brown cow sitting on top of the rocky ground.,three brown cow sitting on top of the rocky ground.,1,2.562886956
one brown cow sitting on top of the rocky ground.,two brown cow sitting on top of the rocky ground.,1,1.723280634
six candles are sticking out of a blue cake.,five candles are sticking out of a blue cake.,0,14.16622663
six candles are sticking out of a blue cake.,four candles are sticking out of a blue cake.,0,-14.15615277
six candles are sticking out of a blue cake.,seven candles are sticking out of a blue cake.,0,6.432116692
