input_text,target_text,success,semSR
a baseball player wearing number 10 hitting a ball.,a baseball player wearing number 1 hitting a ball.,0,7.659664289937462
a baseball player wearing number 10 hitting a ball.,a baseball player wearing number 2 hitting a ball.,0,4.4522685644935445
a baseball player wearing number 10 hitting a ball.,a baseball player wearing number 4 hitting a ball.,0,-8.620388180311288
a baseball player wearing number 10 hitting a ball.,a baseball player wearing number 5 hitting a ball.,0,7.926255120517093
a baseball player wearing number 10 hitting a ball.,a baseball player wearing number 6 hitting a ball.,0,7.5850663784793255
a bench next to three potted plants.,a bench next to five potted plants.,0,2.2759800028321466
a bench next to three potted plants.,a bench next to four potted plants.,0,0.8931847548627487
a bench next to three potted plants.,a bench next to seven potted plants.,0,0.5712735258942339
a bench next to three potted plants.,a bench next to six potted plants.,0,-6.298517942585522
a bench next to three potted plants.,a bench next to two potted plants.,0,5.539784874082015
a polar bear is walking on snow and has one paw up in the air.,a polar bear is walking on snow and has five paw up in the air.,0,32.67073168123763
a polar bear is walking on snow and has one paw up in the air.,a polar bear is walking on snow and has four paw up in the air.,0,-3.3598742024115014
a polar bear is walking on snow and has one paw up in the air.,a polar bear is walking on snow and has six paw up in the air.,0,11.868709925337736
a polar bear is walking on snow and has one paw up in the air.,a polar bear is walking on snow and has three paw up in the air.,0,18.230094430287306
a polar bear is walking on snow and has one paw up in the air.,a polar bear is walking on snow and has two paw up in the air.,0,14.82776209438584
a small pizza cut in six sits on a plate.,a small pizza cut in five sits on a plate.,0,29.043917574206716
a small pizza cut in six sits on a plate.,a small pizza cut in four sits on a plate.,0,-5.391964946007768
a small pizza cut in six sits on a plate.,a small pizza cut in one sits on a plate.,0,2.9502582548387264
a small pizza cut in six sits on a plate.,a small pizza cut in three sits on a plate.,0,6.1615672052145625
a small pizza cut in six sits on a plate.,a small pizza cut in two sits on a plate.,0,-1.4793267510833108
a table topped with six glasses of booze.,a table topped with five glasses of booze.,0,16.40324932257736
a table topped with six glasses of booze.,a table topped with four glasses of booze.,0,4.021444396320689
a table topped with six glasses of booze.,a table topped with seven glasses of booze.,0,4.714611534770756
a table topped with six glasses of booze.,a table topped with three glasses of booze.,0,2.4598015694595587
a table topped with six glasses of booze.,a table topped with two glasses of booze.,0,1.1863188911619715
a tray with four different types of food.,a tray with eight different types of food.,0,-1.42036586648624
a tray with four different types of food.,a tray with five different types of food.,0,-6.101317210814583
a tray with four different types of food.,a tray with six different types of food.,0,-7.7136929304936475
a tray with four different types of food.,a tray with three different types of food.,0,-0.890209074060848
a tray with four different types of food.,a tray with two different types of food.,0,5.310871124377519
a white bed set with seven soft pillows.,a white bed set with eight soft pillows.,0,23.841536858762645
a white bed set with seven soft pillows.,a white bed set with four soft pillows.,0,-29.21607705034429
a white bed set with seven soft pillows.,a white bed set with six soft pillows.,0,29.017055642769925
a white bed set with seven soft pillows.,a white bed set with three soft pillows.,0,4.518997570720541
a white bed set with seven soft pillows.,a white bed set with two soft pillows.,0,4.136743329723936
a white bowl with seven naval oranges next to a stack of plates.,a white bowl with five naval oranges next to a stack of plates.,0,1.1948902703768127
a white bowl with seven naval oranges next to a stack of plates.,a white bowl with four naval oranges next to a stack of plates.,0,11.459152074509834
a white bowl with seven naval oranges next to a stack of plates.,a white bowl with six naval oranges next to a stack of plates.,0,-18.6818530023107
a white bowl with seven naval oranges next to a stack of plates.,a white bowl with three naval oranges next to a stack of plates.,0,1.3013333116937684
a white bowl with seven naval oranges next to a stack of plates.,a white bowl with two naval oranges next to a stack of plates.,0,2.1837105681847033
five matching teddy bears are laying on the bed.,eight matching teddy bears are laying on the bed.,0,2.4219840314185577
five matching teddy bears are laying on the bed.,four matching teddy bears are laying on the bed.,0,5.627313455199912
five matching teddy bears are laying on the bed.,six matching teddy bears are laying on the bed.,0,2.7988865553274778
five matching teddy bears are laying on the bed.,three matching teddy bears are laying on the bed.,0,1.7729429654830082
five matching teddy bears are laying on the bed.,two matching teddy bears are laying on the bed.,0,2.1948902500841614
five sheep are grazing on a hill in the green grass.,four sheep are grazing on a hill in the green grass.,0,-4.684731157673887
five sheep are grazing on a hill in the green grass.,seven sheep are grazing on a hill in the green grass.,0,4.0710139478097505
five sheep are grazing on a hill in the green grass.,six sheep are grazing on a hill in the green grass.,0,-3.499619139710729
five sheep are grazing on a hill in the green grass.,three sheep are grazing on a hill in the green grass.,0,-2.576780333157431
five sheep are grazing on a hill in the green grass.,two sheep are grazing on a hill in the green grass.,0,4.656923310107459
four apples sitting in a bowl viewed from above.,five apples sitting in a bowl viewed from above.,0,-7.002331101906367
four apples sitting in a bowl viewed from above.,seven apples sitting in a bowl viewed from above.,0,-1.585604198658578
four apples sitting in a bowl viewed from above.,six apples sitting in a bowl viewed from above.,0,1.287233400130436
four apples sitting in a bowl viewed from above.,three apples sitting in a bowl viewed from above.,0,16.9550777637558
four apples sitting in a bowl viewed from above.,two apples sitting in a bowl viewed from above.,0,9.935046101271132
one brown cow sitting on top of the rocky ground.,five brown cow sitting on top of the rocky ground.,1,4.86782979676193
one brown cow sitting on top of the rocky ground.,four brown cow sitting on top of the rocky ground.,1,1.5545850002092365
one brown cow sitting on top of the rocky ground.,six brown cow sitting on top of the rocky ground.,0,1.9433617075818919
one brown cow sitting on top of the rocky ground.,three brown cow sitting on top of the rocky ground.,1,2.002234992704982
one brown cow sitting on top of the rocky ground.,two brown cow sitting on top of the rocky ground.,1,2.28992734243175
six candles are sticking out of a blue cake.,five candles are sticking out of a blue cake.,0,-3.1512609922017583
six candles are sticking out of a blue cake.,four candles are sticking out of a blue cake.,0,-12.634531614720439
six candles are sticking out of a blue cake.,seven candles are sticking out of a blue cake.,0,3.1446593964012437
six candles are sticking out of a blue cake.,three candles are sticking out of a blue cake.,0,-1.1052535361434754
six candles are sticking out of a blue cake.,two candles are sticking out of a blue cake.,0,-12.149537973573079
there are nine fighter planes in a row in this picture.,there are five fighter planes in a row in this picture.,0,0.1308294153757649
there are nine fighter planes in a row in this picture.,there are four fighter planes in a row in this picture.,0,1.8174670318911859
there are nine fighter planes in a row in this picture.,there are six fighter planes in a row in this picture.,0,-21.9509015204828
there are nine fighter planes in a row in this picture.,there are three fighter planes in a row in this picture.,0,-2.8996856194372276
there are nine fighter planes in a row in this picture.,there are two fighter planes in a row in this picture.,0,4.540166347662326
there are two zebras grazing side by side.,there are five zebras grazing side by side.,0,0.7831261474212337
there are two zebras grazing side by side.,there are four zebras grazing side by side.,0,4.629079979425553
there are two zebras grazing side by side.,there are seven zebras grazing side by side.,0,5.737848793682788
there are two zebras grazing side by side.,there are six zebras grazing side by side.,0,-0.4354094587999254
there are two zebras grazing side by side.,there are three zebras grazing side by side.,0,6.081242778159596
this pizza is cut into eight equal slices.,this pizza is cut into five equal slices.,0,-7.782295867549351
this pizza is cut into eight equal slices.,this pizza is cut into four equal slices.,0,5.040700002523203
this pizza is cut into eight equal slices.,this pizza is cut into six equal slices.,0,-7.402227059946879
this pizza is cut into eight equal slices.,this pizza is cut into three equal slices.,0,0.3327280063556971
this pizza is cut into eight equal slices.,this pizza is cut into two equal slices.,0,6.564931473257013
three birds are looking around while on the ground.,five birds are looking around while on the ground.,1,1.6631606003620114
three birds are looking around while on the ground.,four birds are looking around while on the ground.,0,-4.466144905788012
three birds are looking around while on the ground.,seven birds are looking around while on the ground.,1,1.3725264353592883
three birds are looking around while on the ground.,six birds are looking around while on the ground.,1,1.340077432720277
three birds are looking around while on the ground.,two birds are looking around while on the ground.,1,0.5697934986504339
three traffic lights hanging off a pole and some buildings.,five traffic lights hanging off a pole and some buildings.,0,-9.073483598786908
three traffic lights hanging off a pole and some buildings.,four traffic lights hanging off a pole and some buildings.,0,-7.403380276844032
three traffic lights hanging off a pole and some buildings.,one traffic lights hanging off a pole and some buildings.,0,10.803230405348605
three traffic lights hanging off a pole and some buildings.,six traffic lights hanging off a pole and some buildings.,0,-3.4536525752223177
three traffic lights hanging off a pole and some buildings.,two traffic lights hanging off a pole and some buildings.,0,-10.926344834421526
two ducks are swimming outdoors in the water.,five ducks are swimming outdoors in the water.,0,0.5961774275546998
two ducks are swimming outdoors in the water.,four ducks are swimming outdoors in the water.,0,1.439388774199151
two ducks are swimming outdoors in the water.,seven ducks are swimming outdoors in the water.,1,1.4173721306930087
two ducks are swimming outdoors in the water.,six ducks are swimming outdoors in the water.,1,0.34989316195648784
two ducks are swimming outdoors in the water.,three ducks are swimming outdoors in the water.,0,2.2932569775599867
two giraffes in a zoo look at their surroundings.,five giraffes in a zoo look at their surroundings.,0,0.04268330059872492
two giraffes in a zoo look at their surroundings.,four giraffes in a zoo look at their surroundings.,1,0.5410340640104773
two giraffes in a zoo look at their surroundings.,seven giraffes in a zoo look at their surroundings.,1,0.20034572741455894
two giraffes in a zoo look at their surroundings.,six giraffes in a zoo look at their surroundings.,1,-0.3997403688330169
two giraffes in a zoo look at their surroundings.,three giraffes in a zoo look at their surroundings.,1,16.005206124260972
