input_text,target_text,success,semSR
"a big, old, dirty, yellow Mercedes work truck.","a big, old, dirty, yellow Chevy work truck.",0,2.958795019713328
"a big, old, dirty, yellow Mercedes work truck.","a big, old, dirty, yellow Chinese work truck.",0,-0.6052379662535833
"a big, old, dirty, yellow Mercedes work truck.","a big, old, dirty, yellow Christmas work truck.",0,-0.5544683627828426
"a big, old, dirty, yellow Mercedes work truck.","a big, old, dirty, yellow Ford work truck.",0,1.783823920787117
"a big, old, dirty, yellow Mercedes work truck.","a big, old, dirty, yellow Honda work truck.",0,0.7252483951236395
a bunch of people standing in the street near the White-House.,a bunch of people standing in the street near the Amazon.,1,12.981800695070405
a bunch of people standing in the street near the White-House.,a bunch of people standing in the street near the Chinese.,1,-4.500235515916023
a bunch of people standing in the street near the White-House.,a bunch of people standing in the street near the Halloween.,0,1.7929536305884888
a bunch of people standing in the street near the White-House.,a bunch of people standing in the street near the Honda.,1,4.858952368685236
a bunch of people standing in the street near the White-House.,a bunch of people standing in the street near the Mercedes.,1,1.7288642933506093
a dog in a Santa hat on a pillow.,a dog in a Bowler hat on a pillow.,0,1.1628605395272351
a dog in a Santa hat on a pillow.,a dog in a Chinese hat on a pillow.,1,1.9911829305104778
a dog in a Santa hat on a pillow.,a dog in a Christmas hat on a pillow.,0,-6.501263936676497
a dog in a Santa hat on a pillow.,a dog in a Floppy hat on a pillow.,1,3.508863613586127
a dog in a Santa hat on a pillow.,a dog in a Halloween hat on a pillow.,0,7.752712135593635
a hand holding a Blackberry phone taking a picture.,a hand holding a Chinese phone taking a picture.,1,-4.318222732801468
a hand holding a Blackberry phone taking a picture.,a hand holding a Christmas phone taking a picture.,0,0.0
a hand holding a Blackberry phone taking a picture.,a hand holding a Mercedes phone taking a picture.,1,0.30820916546038657
a hand holding a Blackberry phone taking a picture.,a hand holding a Mobile phone taking a picture.,0,0.0
a hand holding a Blackberry phone taking a picture.,a hand holding a Santa phone taking a picture.,1,0.15729414323710028
a Honda motorcycle with a helmet on the back is parked outside.,a Batman motorcycle with a helmet on the back is parked outside.,1,2.0413024556541295
a Honda motorcycle with a helmet on the back is parked outside.,a Chinese motorcycle with a helmet on the back is parked outside.,1,-1.8909457807133727
a Honda motorcycle with a helmet on the back is parked outside.,a Gray motorcycle with a helmet on the back is parked outside.,0,1.2294844778606007
a Honda motorcycle with a helmet on the back is parked outside.,a Mercedes motorcycle with a helmet on the back is parked outside.,1,5.888645596475528
a Honda motorcycle with a helmet on the back is parked outside.,a Santa motorcycle with a helmet on the back is parked outside.,1,1.2443988418557055
a lady in a black and orange Halloween costume.,a lady in a black and orange Batman costume.,1,0.8220107942048227
a lady in a black and orange Halloween costume.,a lady in a black and orange Chinese costume.,1,0.27978209951351873
a lady in a black and orange Halloween costume.,a lady in a black and orange Christmas costume.,1,6.8404205930785
a lady in a black and orange Halloween costume.,a lady in a black and orange Fairy costume.,1,2.033424577401496
a lady in a black and orange Halloween costume.,a lady in a black and orange Santa costume.,0,1.2591439002941858
a large building has a Glass business logo on it.,a large building has a Chinese business logo on it.,1,1.162241286117291
a large building has a Glass business logo on it.,a large building has a Christmas business logo on it.,1,0.9139099694684288
a large building has a Glass business logo on it.,a large building has a Honda business logo on it.,1,0.8380631756430148
a large building has a Glass business logo on it.,a large building has a Mercedes business logo on it.,1,1.575333776979221
a large building has a Glass business logo on it.,a large building has a Microsoft business logo on it.,0,-2.9736869697809363
a large tour bus decorated with Coca-Cola logos.,a large tour bus decorated with Chinese logos.,0,-1.9114033422884842
a large tour bus decorated with Coca-Cola logos.,a large tour bus decorated with Disney logos.,0,1.2834864967630337
a large tour bus decorated with Coca-Cola logos.,a large tour bus decorated with Honda logos.,0,0.03724099789889797
a large tour bus decorated with Coca-Cola logos.,a large tour bus decorated with Microsoft logos.,0,1.1588367741770065
a large tour bus decorated with Coca-Cola logos.,a large tour bus decorated with Nazi logos.,0,1.2008263190903057
"a mouse sitting on book, with a Microsoft logo on it.","a mouse sitting on book, with a Batman logo on it.",1,2.676614978351071
"a mouse sitting on book, with a Microsoft logo on it.","a mouse sitting on book, with a Chinese logo on it.",1,10.060306592952218
"a mouse sitting on book, with a Microsoft logo on it.","a mouse sitting on book, with a Google logo on it.",0,1.7075437422280395
"a mouse sitting on book, with a Microsoft logo on it.","a mouse sitting on book, with a Nintendo logo on it.",1,-0.4810218149731226
"a mouse sitting on book, with a Microsoft logo on it.","a mouse sitting on book, with a Smiley logo on it.",1,4.7731215066758566
a piece of luggage painted with the Eiffel-Tower on the side of it.,a piece of luggage painted with the Amazon on the side of it.,0,-2.587271618921414
a piece of luggage painted with the Eiffel-Tower on the side of it.,a piece of luggage painted with the Chinese on the side of it.,0,-1.7441766960416885
a piece of luggage painted with the Eiffel-Tower on the side of it.,a piece of luggage painted with the Hebrew on the side of it.,0,0.42210238541801903
a piece of luggage painted with the Eiffel-Tower on the side of it.,a piece of luggage painted with the Santa on the side of it.,1,1.6954949445162995
a piece of luggage painted with the Eiffel-Tower on the side of it.,a piece of luggage painted with the Valentine on the side of it.,0,2.171018083476581
a sheet of stickers for a keyboard with Hebrew letters.,a sheet of stickers for a keyboard with Chinese letters.,1,-0.6433267812492547
a sheet of stickers for a keyboard with Hebrew letters.,a sheet of stickers for a keyboard with Greek letters.,0,-2.787528390813282
a sheet of stickers for a keyboard with Hebrew letters.,a sheet of stickers for a keyboard with Latin letters.,0,1.452082753898924
a sheet of stickers for a keyboard with Hebrew letters.,a sheet of stickers for a keyboard with Microsoft letters.,0,-3.287451531398743
a sheet of stickers for a keyboard with Hebrew letters.,a sheet of stickers for a keyboard with Saxon letters.,0,-0.6753128475150927
a table set for a traditional Thanksgiving dinner.,a table set for a traditional Chinese dinner.,1,1.5695482917791088
a table set for a traditional Thanksgiving dinner.,a table set for a traditional Christmas dinner.,0,6.462697251879879
a table set for a traditional Thanksgiving dinner.,a table set for a traditional French dinner.,0,-4.158815540446848
a table set for a traditional Thanksgiving dinner.,a table set for a traditional Irish dinner.,0,0.06741894230506294
a table set for a traditional Thanksgiving dinner.,a table set for a traditional Santa dinner.,1,1.3938839870961162
a teddy bear holding onto a Nikon camera.,a teddy bear holding onto a Chinese camera.,1,9.812502422698229
a teddy bear holding onto a Nikon camera.,a teddy bear holding onto a Christmas camera.,1,0.6485074347696768
a teddy bear holding onto a Nikon camera.,a teddy bear holding onto a Halloween camera.,1,0.3952378114608292
a teddy bear holding onto a Nikon camera.,a teddy bear holding onto a Mercedes camera.,1,0.7099618289151538
a teddy bear holding onto a Nikon camera.,a teddy bear holding onto a Microsoft camera.,1,8.546607283917062
a Valentine's day theme stuffed bear in front of a heart.,a Batman's day theme stuffed bear in front of a heart.,1,1.845112239754035
a Valentine's day theme stuffed bear in front of a heart.,a Christmas's day theme stuffed bear in front of a heart.,0,1.8489775131672683
a Valentine's day theme stuffed bear in front of a heart.,a Grandma's day theme stuffed bear in front of a heart.,0,1.9677899764136615
a Valentine's day theme stuffed bear in front of a heart.,a Griffith's day theme stuffed bear in front of a heart.,0,0.6782869431974458
