input_text,target_text,success,semSR
a bird is flying over some rocky water.,a bird is flying over some black water.,0,-2.566302515
a bird is flying over some rocky water.,a bird is flying over some blue water.,0,0.619187479
a bird is flying over some rocky water.,a bird is flying over some calm water.,1,2.253637302
a bird is flying over some rocky water.,a bird is flying over some reflective water.,0,8.135329592
a bird is flying over some rocky water.,a bird is flying over some transparent water.,0,1.643453999
a black kitten lays on her side beside remote controls.,a brown kitten lays on her side beside remote controls.,0,0.666094137
a black kitten lays on her side beside remote controls.,a gray kitten lays on her side beside remote controls.,0,3.336089722
a black kitten lays on her side beside remote controls.,a pink kitten lays on her side beside remote controls.,0,2.1130986
a black kitten lays on her side beside remote controls.,a white kitten lays on her side beside remote controls.,1,1.613403591
a black kitten lays on her side beside remote controls.,a yellow kitten lays on her side beside remote controls.,0,1.804780568
"a blurry image of pizza with a fork, knife and drink.","a cheesy image of pizza with a fork, knife and drink.",1,0.805430706
"a blurry image of pizza with a fork, knife and drink.","a clear image of pizza with a fork, knife and drink.",1,-0.048741675
"a blurry image of pizza with a fork, knife and drink.","a dirty image of pizza with a fork, knife and drink.",1,-1.425009831
"a blurry image of pizza with a fork, knife and drink.","a fresh image of pizza with a fork, knife and drink.",0,-0.739552931
"a blurry image of pizza with a fork, knife and drink.","a smoky image of pizza with a fork, knife and drink.",0,0.941377659
a brown cow lays down in the grass.,a black cow lays down in the grass.,0,5.855649848
a brown cow lays down in the grass.,a gray cow lays down in the grass.,0,0.288029533
a brown cow lays down in the grass.,a pink cow lays down in the grass.,1,-1.608075749
a brown cow lays down in the grass.,a white cow lays down in the grass.,1,4.071292683
a brown cow lays down in the grass.,a yellow cow lays down in the grass.,0,7.155551469
a cat laying on a bench like it was sleepy.,a cat laying on a bench like it was angry.,0,0
a cat laying on a bench like it was sleepy.,a cat laying on a bench like it was dead.,0,8.737300152
a cat laying on a bench like it was sleepy.,a cat laying on a bench like it was happy.,0,0.074305539
a cat laying on a bench like it was sleepy.,a cat laying on a bench like it was lazy.,0,0.43399649
a cat laying on a bench like it was sleepy.,a cat laying on a bench like it was sad.,0,-6.690566637
a crystal bowl filled with oranges on top of a table.,a black bowl filled with oranges on top of a table.,0,0.070239868
a crystal bowl filled with oranges on top of a table.,a green bowl filled with oranges on top of a table.,1,1.652602884
a crystal bowl filled with oranges on top of a table.,a large bowl filled with oranges on top of a table.,0,0.221135407
a crystal bowl filled with oranges on top of a table.,a small bowl filled with oranges on top of a table.,0,6.89531906
a crystal bowl filled with oranges on top of a table.,a wooden bowl filled with oranges on top of a table.,0,-2.444534374
a dog with a lazy look lying on a bed.,a dog with a angry look lying on a bed.,0,0.295351203
a dog with a lazy look lying on a bed.,a dog with a funny look lying on a bed.,1,1.637001233
a dog with a lazy look lying on a bed.,a dog with a happy look lying on a bed.,1,-0.424119503
a dog with a lazy look lying on a bed.,a dog with a sad look lying on a bed.,1,9.535679376
a dog with a lazy look lying on a bed.,a dog with a sleepy look lying on a bed.,0,-2.695844964
a gray bicycle is locked to some metal doors.,a black bicycle is locked to some metal doors.,0,-3.438667647
a gray bicycle is locked to some metal doors.,a blue bicycle is locked to some metal doors.,0,2.398897275
a gray bicycle is locked to some metal doors.,a green bicycle is locked to some metal doors.,1,1.755250249
a gray bicycle is locked to some metal doors.,a pink bicycle is locked to some metal doors.,1,0.486985475
a gray bicycle is locked to some metal doors.,a yellow bicycle is locked to some metal doors.,0,0
a grumpy cat sits with objects balanced on his side.,a angry cat sits with objects balanced on his side.,0,-1.987327477
a grumpy cat sits with objects balanced on his side.,a big cat sits with objects balanced on his side.,0,3.191284349
a grumpy cat sits with objects balanced on his side.,a black cat sits with objects balanced on his side.,0,2.00023861
a grumpy cat sits with objects balanced on his side.,a sleepy cat sits with objects balanced on his side.,0,1.794398813
a grumpy cat sits with objects balanced on his side.,a small cat sits with objects balanced on his side.,0,1.21922324
a man in a tie and a fake moustache.,a man in a tie and a black moustache.,0,2.807275067
a man in a tie and a fake moustache.,a man in a tie and a gray moustache.,0,8.93204464
a man in a tie and a fake moustache.,a man in a tie and a heavy moustache.,0,2.150719196
a man in a tie and a fake moustache.,a man in a tie and a large moustache.,0,2.210241799
