input_text,target_text,success,semSR
a bird is flying over some rocky water.,a bird is flying over some black water.,0,4.085350078136761
a bird is flying over some rocky water.,a bird is flying over some blue water.,1,18.953237092524212
a bird is flying over some rocky water.,a bird is flying over some calm water.,1,-0.8179443667213396
a bird is flying over some rocky water.,a bird is flying over some reflective water.,0,0.42025617365602624
a bird is flying over some rocky water.,a bird is flying over some transparent water.,1,2.7209221349430868
a black kitten lays on her side beside remote controls.,a brown kitten lays on her side beside remote controls.,0,1.1342079110221057
a black kitten lays on her side beside remote controls.,a gray kitten lays on her side beside remote controls.,0,1.7351801892935221
a black kitten lays on her side beside remote controls.,a pink kitten lays on her side beside remote controls.,0,9.774387493002271
a black kitten lays on her side beside remote controls.,a white kitten lays on her side beside remote controls.,0,0.06672546308453597
a black kitten lays on her side beside remote controls.,a yellow kitten lays on her side beside remote controls.,0,0.5035614182558982
"a blurry image of pizza with a fork, knife and drink.","a cheesy image of pizza with a fork, knife and drink.",1,0.1010621461388673
"a blurry image of pizza with a fork, knife and drink.","a clear image of pizza with a fork, knife and drink.",1,0.6484601059751129
"a blurry image of pizza with a fork, knife and drink.","a dirty image of pizza with a fork, knife and drink.",1,-0.33661402508074434
"a blurry image of pizza with a fork, knife and drink.","a fresh image of pizza with a fork, knife and drink.",1,-0.16278095717585467
"a blurry image of pizza with a fork, knife and drink.","a smoky image of pizza with a fork, knife and drink.",1,4.272948217757699
a brown cow lays down in the grass.,a black cow lays down in the grass.,0,0.7037014792607754
a brown cow lays down in the grass.,a gray cow lays down in the grass.,0,-0.13239543707784068
a brown cow lays down in the grass.,a pink cow lays down in the grass.,1,1.5989930870891527
a brown cow lays down in the grass.,a white cow lays down in the grass.,0,1.958487254600802
a brown cow lays down in the grass.,a yellow cow lays down in the grass.,1,6.9132860921800185
a cat laying on a bench like it was sleepy.,a cat laying on a bench like it was angry.,0,-3.8652993467132326
a cat laying on a bench like it was sleepy.,a cat laying on a bench like it was dead.,0,6.313872640409756
a cat laying on a bench like it was sleepy.,a cat laying on a bench like it was happy.,0,-0.5204877173055064
a cat laying on a bench like it was sleepy.,a cat laying on a bench like it was lazy.,0,0.8701553134829001
a cat laying on a bench like it was sleepy.,a cat laying on a bench like it was sad.,0,5.709348616715145
a crystal bowl filled with oranges on top of a table.,a black bowl filled with oranges on top of a table.,1,1.9271495486272496
a crystal bowl filled with oranges on top of a table.,a green bowl filled with oranges on top of a table.,1,0.5365856121749986
a crystal bowl filled with oranges on top of a table.,a large bowl filled with oranges on top of a table.,0,-1.429805087925749
a crystal bowl filled with oranges on top of a table.,a small bowl filled with oranges on top of a table.,0,7.320466661753277
a crystal bowl filled with oranges on top of a table.,a wooden bowl filled with oranges on top of a table.,0,0.10749091890024047
a dog with a lazy look lying on a bed.,a dog with a angry look lying on a bed.,0,2.7943788670095406
a dog with a lazy look lying on a bed.,a dog with a funny look lying on a bed.,0,-2.4156092596964713
a dog with a lazy look lying on a bed.,a dog with a happy look lying on a bed.,1,-5.344499867160417
a dog with a lazy look lying on a bed.,a dog with a sad look lying on a bed.,0,2.934537515440337
