input_text,target_text,success,semSR
"a big, old, dirty, yellow Mercedes work truck.","a big, old, dirty, yellow Chevy work truck.",0,1.216245873
"a big, old, dirty, yellow Mercedes work truck.","a big, old, dirty, yellow Chinese work truck.",0,2.5407521
"a big, old, dirty, yellow Mercedes work truck.","a big, old, dirty, yellow Christmas work truck.",0,0.108393776
"a big, old, dirty, yellow Mercedes work truck.","a big, old, dirty, yellow Ford work truck.",0,0.300808173
"a big, old, dirty, yellow Mercedes work truck.","a big, old, dirty, yellow Honda work truck.",0,0.67514609
a bunch of people standing in the street near the White-House.,a bunch of people standing in the street near the Amazon.,0,0.73897943
a bunch of people standing in the street near the White-House.,a bunch of people standing in the street near the Chinese.,1,0.518702089
a bunch of people standing in the street near the White-House.,a bunch of people standing in the street near the Halloween.,1,-1.183494633
a bunch of people standing in the street near the White-House.,a bunch of people standing in the street near the Honda.,0,1.464583496
a bunch of people standing in the street near the White-House.,a bunch of people standing in the street near the Mercedes.,1,3.655472564
a dog in a Santa hat on a pillow.,a dog in a Bowler hat on a pillow.,0,1.519149514
a dog in a Santa hat on a pillow.,a dog in a Chinese hat on a pillow.,0,1.515731454
a dog in a Santa hat on a pillow.,a dog in a Christmas hat on a pillow.,0,-11.66696752
a dog in a Santa hat on a pillow.,a dog in a Floppy hat on a pillow.,1,1.761243559
a dog in a Santa hat on a pillow.,a dog in a Halloween hat on a pillow.,0,1.914955864
a hand holding a Blackberry phone taking a picture.,a hand holding a Chinese phone taking a picture.,1,1.783547704
a hand holding a Blackberry phone taking a picture.,a hand holding a Christmas phone taking a picture.,0,0.361364198
a hand holding a Blackberry phone taking a picture.,a hand holding a Mercedes phone taking a picture.,1,1.772576689
a hand holding a Blackberry phone taking a picture.,a hand holding a Mobile phone taking a picture.,0,0.427065534
a hand holding a Blackberry phone taking a picture.,a hand holding a Santa phone taking a picture.,1,0.332020143
a Honda motorcycle with a helmet on the back is parked outside.,a Batman motorcycle with a helmet on the back is parked outside.,1,1.632332705
a Honda motorcycle with a helmet on the back is parked outside.,a Chinese motorcycle with a helmet on the back is parked outside.,1,0.906075331
a Honda motorcycle with a helmet on the back is parked outside.,a Gray motorcycle with a helmet on the back is parked outside.,0,-1.50572427
a Honda motorcycle with a helmet on the back is parked outside.,a Mercedes motorcycle with a helmet on the back is parked outside.,0,0.617911694
a Honda motorcycle with a helmet on the back is parked outside.,a Santa motorcycle with a helmet on the back is parked outside.,1,1.231815772
a lady in a black and orange Halloween costume.,a lady in a black and orange Batman costume.,1,0.864876193
a lady in a black and orange Halloween costume.,a lady in a black and orange Chinese costume.,1,1.538148985
a lady in a black and orange Halloween costume.,a lady in a black and orange Christmas costume.,0,0.882820004
a lady in a black and orange Halloween costume.,a lady in a black and orange Fairy costume.,1,3.307525408
a lady in a black and orange Halloween costume.,a lady in a black and orange Santa costume.,1,5.121926829
a large building has a Glass business logo on it.,a large building has a Chinese business logo on it.,1,1.986358127
a large building has a Glass business logo on it.,a large building has a Christmas business logo on it.,1,1.438249508
a large building has a Glass business logo on it.,a large building has a Honda business logo on it.,0,-5.480380921
a large building has a Glass business logo on it.,a large building has a Mercedes business logo on it.,0,1.462143932
a large building has a Glass business logo on it.,a large building has a Microsoft business logo on it.,0,-0.626054216
a large tour bus decorated with Coca-Cola logos.,a large tour bus decorated with Chinese logos.,0,0.891212995
a large tour bus decorated with Coca-Cola logos.,a large tour bus decorated with Disney logos.,0,1.136674391
a large tour bus decorated with Coca-Cola logos.,a large tour bus decorated with Honda logos.,0,5.243531021
a large tour bus decorated with Coca-Cola logos.,a large tour bus decorated with Microsoft logos.,0,1.049609629
