input_text,target_text,success,semSR
a black and white cat hugging a handbag.,a black and white cat carrying a handbag.,1,0.1868595181071727
a black and white cat hugging a handbag.,a black and white cat following a handbag.,0,-2.215828087964594
a black and white cat hugging a handbag.,a black and white cat hiding a handbag.,0,1.0544157795633717
a black and white cat hugging a handbag.,a black and white cat sitting a handbag.,0,-0.11931570606680508
a black and white cat hugging a handbag.,a black and white cat watching a handbag.,0,-1.160446917883304
a black duck floating in a wavy pond.,a black duck eating in a wavy pond.,0,-2.3504633212198227
a black duck floating in a wavy pond.,a black duck fishing in a wavy pond.,1,0.3923673975390833
a black duck floating in a wavy pond.,a black duck flying in a wavy pond.,0,1.3697594614870223
a black duck floating in a wavy pond.,a black duck landing in a wavy pond.,0,1.0216977040197384
a black duck floating in a wavy pond.,a black duck playing in a wavy pond.,0,2.223660760521005
a boy balancing on a skateboard in a parking lot.,a boy carrying on a skateboard in a parking lot.,0,-31.467602636711405
a boy balancing on a skateboard in a parking lot.,a boy jumping on a skateboard in a parking lot.,0,2.6248833029624117
a boy balancing on a skateboard in a parking lot.,a boy riding on a skateboard in a parking lot.,0,-10.083264100952245
a boy balancing on a skateboard in a parking lot.,a boy sitting on a skateboard in a parking lot.,0,0.8722843399144407
a boy balancing on a skateboard in a parking lot.,a boy standing on a skateboard in a parking lot.,0,1.5273591078719222
a brown bear investigating something on top of a rock.,a brown bear carrying something on top of a rock.,0,2.9976068080548166
a brown bear investigating something on top of a rock.,a brown bear dropping something on top of a rock.,0,2.113115326495363
a brown bear investigating something on top of a rock.,a brown bear eating something on top of a rock.,0,2.5758831229608847
a brown bear investigating something on top of a rock.,a brown bear hiding something on top of a rock.,0,9.287145598390818
a brown bear investigating something on top of a rock.,a brown bear kicking something on top of a rock.,0,8.941703855041192
a bunch of birds sitting in a bread basket.,a bunch of birds hiding in a bread basket.,0,9.50942263908576
a bunch of birds sitting in a bread basket.,a bunch of birds lying in a bread basket.,0,-0.7484676608011809
a bunch of birds sitting in a bread basket.,a bunch of birds nesting in a bread basket.,0,1.295473073087233
a bunch of birds sitting in a bread basket.,a bunch of birds sleeping in a bread basket.,0,-0.335584444406407
a bunch of birds sitting in a bread basket.,a bunch of birds standing in a bread basket.,0,8.815609653573448
a cat chases a computer mouse across the floor.,a cat carrying a computer mouse across the floor.,1,0.05951683031041917
a cat chases a computer mouse across the floor.,a cat kicking a computer mouse across the floor.,0,4.1242708649907485
a cat chases a computer mouse across the floor.,a cat sliding a computer mouse across the floor.,0,-2.2469721420866513
a cat chases a computer mouse across the floor.,a cat tossed a computer mouse across the floor.,0,-0.11444679371136708
a cat chases a computer mouse across the floor.,a cat watching a computer mouse across the floor.,0,0.6863305645678732
a cat in a living room with a burning fireplace.,a cat in a living room with a cooled fireplace.,0,3.0793918515107803
a cat in a living room with a burning fireplace.,a cat in a living room with a cozy fireplace.,0,3.1278877183237173
a cat in a living room with a burning fireplace.,a cat in a living room with a floating fireplace.,0,6.027290975845986
a cat in a living room with a burning fireplace.,a cat in a living room with a outed fireplace.,0,3.144463769874222
a cat in a living room with a burning fireplace.,a cat in a living room with a painting fireplace.,0,11.97385075769836
a cat napping inside of a large planter.,a cat eating inside of a large planter.,0,0.16133589287886624
a cat napping inside of a large planter.,a cat hiding inside of a large planter.,0,3.2348937172948675
a cat napping inside of a large planter.,a cat playing inside of a large planter.,0,1.329604212405264
a cat napping inside of a large planter.,a cat sitting inside of a large planter.,0,1.206741398541587
a cat napping inside of a large planter.,a cat watching inside of a large planter.,1,1.7817576118022842
a cat peeks its head out of curtains.,a cat hiding its head out of curtains.,0,1.1614364237646497
a cat peeks its head out of curtains.,a cat poking its head out of curtains.,0,0.6364562178983562
a cat peeks its head out of curtains.,a cat popped its head out of curtains.,0,3.7989642497213567
a cat peeks its head out of curtains.,a cat pulled its head out of curtains.,0,4.3517279161551325
a cat peeks its head out of curtains.,a cat sitting its head out of curtains.,0,-7.65697776542139
a dog carrying a ball in his mouth on the sand.,a dog catching a ball in his mouth on the sand.,0,2.242123069124787
a dog carrying a ball in his mouth on the sand.,a dog playing a ball in his mouth on the sand.,0,19.613805648687016
a dog carrying a ball in his mouth on the sand.,a dog putting a ball in his mouth on the sand.,0,14.488245557420404
