input_text,target_text,success,semSR,,
a bench that is beautifully shaded by a tree.,a bench that is fully shaded by a tree.,0,0,,
a bench that is beautifully shaded by a tree.,a bench that is heavily shaded by a tree.,0,4.798358999,,
a bench that is beautifully shaded by a tree.,a bench that is often shaded by a tree.,0,-4.911051602,,
a bench that is beautifully shaded by a tree.,a bench that is partially shaded by a tree.,0,-1.930372614,,
a bench that is beautifully shaded by a tree.,a bench that is partly shaded by a tree.,0,7.259694657,,
a cat is resting peacefully on a laptop while surfing the web.,a cat is resting angrily on a laptop while surfing the web.,0,-1.155855545,,
a cat is resting peacefully on a laptop while surfing the web.,a cat is resting asleep on a laptop while surfing the web.,0,6.141079318,,
a cat is resting peacefully on a laptop while surfing the web.,a cat is resting comfortably on a laptop while surfing the web.,0,-4.138945745,,
a cat is resting peacefully on a laptop while surfing the web.,a cat is resting happily on a laptop while surfing the web.,0,8.829157103,,
a cat is resting peacefully on a laptop while surfing the web.,a cat is resting lazily on a laptop while surfing the web.,0,1.408491389,,
a cat looking worryingly sitting on some books.,a cat looking angrily sitting on some books.,0,-4.666841656,,
a cat looking worryingly sitting on some books.,a cat looking happily sitting on some books.,0,10.56196804,,
a cat looking worryingly sitting on some books.,a cat looking intently sitting on some books.,0,-4.631692768,,
a cat looking worryingly sitting on some books.,a cat looking lazily sitting on some books.,0,1.85727994,,
a cat looking worryingly sitting on some books.,a cat looking peacefully sitting on some books.,0,-10.09069659,,
a cat sits in front of television intently looking at it.,a cat sits in front of television angrily looking at it.,0,-8.244840143,,
a cat sits in front of television intently looking at it.,a cat sits in front of television closely looking at it.,0,-8.539614776,,
a cat sits in front of television intently looking at it.,a cat sits in front of television distantly looking at it.,0,-5.942891695,,
a cat sits in front of television intently looking at it.,a cat sits in front of television happily looking at it.,0,4.189670913,,
a cat sits in front of television intently looking at it.,a cat sits in front of television lazily looking at it.,0,-21.59903539,,
a church with a massively tall tower covered in a clock.,a church with a fairly tall tower covered in a clock.,0,3.092795192,,
a church with a massively tall tower covered in a clock.,a church with a lofty tall tower covered in a clock.,0,-0.354608277,,
a church with a massively tall tower covered in a clock.,a church with a relatively tall tower covered in a clock.,0,1.338799432,,
a church with a massively tall tower covered in a clock.,a church with a slightly tall tower covered in a clock.,0,13.68716076,,
a church with a massively tall tower covered in a clock.,a church with a very tall tower covered in a clock.,0,-0.770593435,,
a giraffe trying to cross a dirt road quickly.,a giraffe trying to cross a dirt road happily.,0,31.31862451,,
a giraffe trying to cross a dirt road quickly.,a giraffe trying to cross a dirt road lazily.,0,-7.264946453,,
a giraffe trying to cross a dirt road quickly.,a giraffe trying to cross a dirt road slowly.,0,-8.961729699,,pops nom ugliest needy :unamused_face: behold pistons question listen up
a giraffe trying to cross a dirt road quickly.,a giraffe trying to cross a dirt road unhurriedly.,0,4.73343323,,
a giraffe trying to cross a dirt road quickly.,a giraffe trying to cross a dirt road vigilantly.,0,7.193299226,,
a herd of cattle and horses roaming freely in a field.,a herd of cattle and horses roaming alone in a field.,0,6.596165144,,
a herd of cattle and horses roaming freely in a field.,a herd of cattle and horses roaming lazily in a field.,0,4.370317834,,
a herd of cattle and horses roaming freely in a field.,a herd of cattle and horses roaming peacefully in a field.,0,-1.305064814,,
a herd of cattle and horses roaming freely in a field.,a herd of cattle and horses roaming together in a field.,0,-0.545188068,,
a herd of cattle and horses roaming freely in a field.,a herd of cattle and horses roaming widely in a field.,0,10.523839,,
a pile of nearly ripe bananas sitting next to each other.,a pile of beautifully ripe bananas sitting next to each other.,0,-0.057984636,,
a pile of nearly ripe bananas sitting next to each other.,a pile of partially ripe bananas sitting next to each other.,0,1.88642631,,
a pile of nearly ripe bananas sitting next to each other.,a pile of perfectly ripe bananas sitting next to each other.,0,12.59501162,,
a pile of nearly ripe bananas sitting next to each other.,a pile of slightly ripe bananas sitting next to each other.,0,4.177409225,,
a pile of nearly ripe bananas sitting next to each other.,a pile of very ripe bananas sitting next to each other.,0,-9.055908224,,
a train passing through a lightly wooded area.,a train passing through a deeply wooded area.,0,3.625490381,,
a train passing through a lightly wooded area.,a train passing through a densely wooded area.,0,3.20504334,,
a train passing through a lightly wooded area.,a train passing through a heavily wooded area.,0,-4.256434259,,
a train passing through a lightly wooded area.,a train passing through a mostly wooded area.,0,-0.882546107,,
a train passing through a lightly wooded area.,a train passing through a partially wooded area.,0,-1.550217803,,
a white curly haired dog standing in a hallway.,a white bushy haired dog standing in a hallway.,0,3.242004461,,
a white curly haired dog standing in a hallway.,a white fluffy haired dog standing in a hallway.,0,4.383706906,,
a white curly haired dog standing in a hallway.,a white partially haired dog standing in a hallway.,0,1.593801591,,
a white curly haired dog standing in a hallway.,a white shiny haired dog standing in a hallway.,0,-0.90144328,,
a white curly haired dog standing in a hallway.,a white thick haired dog standing in a hallway.,1,-1.917228249,,albino thfc sumner \u2066 hippo honors sushmaswartrevoralecoscino maltese
a yellow school bus filled entirely with dogs.,a yellow school bus filled animatedly with dogs.,0,23.30456528,,
a yellow school bus filled entirely with dogs.,a yellow school bus filled happily with dogs.,0,-2.804136491,,
a yellow school bus filled entirely with dogs.,a yellow school bus filled partially with dogs.,0,5.338868574,,
a yellow school bus filled entirely with dogs.,a yellow school bus filled peacefully with dogs.,0,1.000100717,,
a yellow school bus filled entirely with dogs.,a yellow school bus filled slightly with dogs.,0,3.331680963,,
a zebra looking alertly at the camera while in the field.,a zebra looking angrily at the camera while in the field.,0,-3.445576502,,
a zebra looking alertly at the camera while in the field.,a zebra looking back at the camera while in the field.,0,3.296076788,,
a zebra looking alertly at the camera while in the field.,a zebra looking directly at the camera while in the field.,0,20.25824788,,
a zebra looking alertly at the camera while in the field.,a zebra looking intently at the camera while in the field.,0,-3.311100353,,
a zebra looking alertly at the camera while in the field.,a zebra looking straight at the camera while in the field.,0,-11.88404729,,
car sitting at a red light at a mildly busy intersection.,car sitting at a red light at a fairly busy intersection.,0,-8.194548038,,
car sitting at a red light at a mildly busy intersection.,car sitting at a red light at a particularly busy intersection.,0,-10.73811737,,
car sitting at a red light at a mildly busy intersection.,car sitting at a red light at a really busy intersection.,0,-7.775295605,,
car sitting at a red light at a mildly busy intersection.,car sitting at a red light at a slightly busy intersection.,0,-5.024159969,,
car sitting at a red light at a mildly busy intersection.,car sitting at a red light at a very busy intersection.,0,-5.280296267,,devine buy copy louvre joselzaynmalik hollyoaks virgo bastille ational
four differently colored teddy bears on a couch.,four beautifully colored teddy bears on a couch.,0,1.131616318,,
four differently colored teddy bears on a couch.,four brightly colored teddy bears on a couch.,0,0.740068535,,
four differently colored teddy bears on a couch.,four evenly colored teddy bears on a couch.,0,5.441625967,,
four differently colored teddy bears on a couch.,four lightly colored teddy bears on a couch.,0,6.089473379,,
four differently colored teddy bears on a couch.,four slightly colored teddy bears on a couch.,0,2.743989623,,
old buildings by a street on a partly cloudy day.,old buildings by a street on a completely cloudy day.,0,3.182190781,,
old buildings by a street on a partly cloudy day.,old buildings by a street on a fairly cloudy day.,0,6.610498889,,
old buildings by a street on a partly cloudy day.,old buildings by a street on a heavily cloudy day.,0,2.604633403,,
old buildings by a street on a partly cloudy day.,old buildings by a street on a mostly cloudy day.,0,5.946554822,,
old buildings by a street on a partly cloudy day.,old buildings by a street on a very cloudy day.,0,2.135814793,,
