input_text,target_text,success,semSR
an open laptop sitting on a wooden desk.,an open laptop sitting on a wooden bench.,1,1.2365049046842806
an open laptop sitting on a wooden desk.,an open laptop sitting on a wooden chair.,1,1.9482480298665628
an open laptop sitting on a wooden desk.,an open laptop sitting on a wooden counter.,1,1.1771894923114856
an open laptop sitting on a wooden desk.,an open laptop sitting on a wooden shelf.,1,1.390039592489759
an open laptop sitting on a wooden desk.,an open laptop sitting on a wooden stool.,1,1.5342674590795062
a big plane gets ready to take off .,a big bird gets ready to take off.,1,-0.7315615128073851
a big plane gets ready to take off .,a big helicopter gets ready to take off.,1,1.1987925561974777
a big plane gets ready to take off .,a big motorcycle gets ready to take off.,1,1.2266821108750876
a big plane gets ready to take off .,a big ship gets ready to take off.,0,1.7816699207493012
a big plane gets ready to take off .,a big truck gets ready to take off.,1,0.7218000698179682
a blue teddy bear sitting of a tricycle.,a blue teddy bear sitting of a box.,1,0.7482865124245276
a blue teddy bear sitting of a tricycle.,a blue teddy bear sitting of a chair.,0,-4.328912938362921
a blue teddy bear sitting of a tricycle.,a blue teddy bear sitting of a suitcase.,1,-1.370421926829093
a blue teddy bear sitting of a tricycle.,a blue teddy bear sitting of a throne.,1,17.82641817855609
a blue teddy bear sitting of a tricycle.,a blue teddy bear sitting of a tree.,1,0.7578566485233974
a brown teddy bear hanging from a green sign.,a brown teddy bear hanging from a green chain.,1,0.8197082930286672
a brown teddy bear hanging from a green sign.,a brown teddy bear hanging from a green cord.,0,-2.3422578613469973
a brown teddy bear hanging from a green sign.,a brown teddy bear hanging from a green rope.,1,-0.4710322924231902
a brown teddy bear hanging from a green sign.,a brown teddy bear hanging from a green string.,1,-0.13546200810139744
a brown teddy bear hanging from a green sign.,a brown teddy bear hanging from a green vine.,1,2.029674574534668
a brown teddy bear sitting inside of a sock.,a brown teddy bear sitting inside of a box.,1,1.0230176071169796
a brown teddy bear sitting inside of a sock.,a brown teddy bear sitting inside of a car.,1,1.1666799180559269
a brown teddy bear sitting inside of a sock.,a brown teddy bear sitting inside of a chair.,1,1.280710073725579
a brown teddy bear sitting inside of a sock.,a brown teddy bear sitting inside of a refrigerator.,1,1.138554901924155
a brown teddy bear sitting inside of a sock.,a brown teddy bear sitting inside of a truck.,1,0.9502832991924217
a brown teddy bear sitting inside of a straw basket.,a brown teddy bear sitting inside of a straw bag.,1,1.396761017301254
a brown teddy bear sitting inside of a straw basket.,a brown teddy bear sitting inside of a straw bowl.,0,4.203077095638169
a brown teddy bear sitting inside of a straw basket.,a brown teddy bear sitting inside of a straw box.,0,1.2641543610445631
a brown teddy bear sitting inside of a straw basket.,a brown teddy bear sitting inside of a straw chair.,1,0.7126765107311247
a brown teddy bear sitting inside of a straw basket.,a brown teddy bear sitting inside of a straw rug.,1,1.1284669100811122
a close up of a kite partially buried in sand.,a close up of a kite partially buried in concrete.,1,1.5765164869802093
a close up of a kite partially buried in sand.,a close up of a kite partially buried in gravel.,1,1.5959149905487806
a close up of a kite partially buried in sand.,a close up of a kite partially buried in ice.,1,0.9695216059979364
a close up of a kite partially buried in sand.,a close up of a kite partially buried in mud.,0,4.4515553550893046
a close up of a kite partially buried in sand.,a close up of a kite partially buried in water.,0,0.9568635679355356
a cute little teddy bear sitting on a wooden table.,a cute little teddy bear sitting on a wooden box.,1,1.7808283197448305
a cute little teddy bear sitting on a wooden table.,a cute little teddy bear sitting on a wooden chair.,0,0.2909240498737526
a cute little teddy bear sitting on a wooden table.,a cute little teddy bear sitting on a wooden floor.,1,1.15795486869216
a cute little teddy bear sitting on a wooden table.,a cute little teddy bear sitting on a wooden shelf.,1,11.78626284662538
a cute little teddy bear sitting on a wooden table.,a cute little teddy bear sitting on a wooden stool.,1,-0.6066355315822737
a large flat pizza that is odd shaped.,a large flat disc that is odd shaped.,0,11.573990916037891
a large flat pizza that is odd shaped.,a large flat disk that is odd shaped.,0,1.607083683124951
a large flat pizza that is odd shaped.,a large flat rock that is odd shaped.,1,-3.5285784964309364
a large flat pizza that is odd shaped.,a large flat stone that is odd shaped.,1,-0.778912296853069
a large flat pizza that is odd shaped.,a large flat surface that is odd shaped.,1,1.4798999629713934
a little teddy bear sitting by a pillow .,a little teddy bear sitting by a chair.,1,1.6778839094804656
a little teddy bear sitting by a pillow .,a little teddy bear sitting by a fire.,1,0.9782159395833079
a little teddy bear sitting by a pillow .,a little teddy bear sitting by a pool.,1,1.1007406292851987
a little teddy bear sitting by a pillow .,a little teddy bear sitting by a tree.,1,1.1495811158807665
a little teddy bear sitting by a pillow .,a little teddy bear sitting by a window.,1,1.0223248844886694
a motorcycle that is painted green and parked.,a car that is painted green and parked.,1,0.9010063327130151
a motorcycle that is painted green and parked.,a house that is painted green and parked.,1,1.05251288107627
a motorcycle that is painted green and parked.,a mercedes that is painted green and parked.,1,0.9318344963765215
a motorcycle that is painted green and parked.,a truck that is painted green and parked.,1,1.475024972211946
a motorcycle that is painted green and parked.,a van that is painted green and parked.,1,1.4210739058213089
a nice table full of fresh clean  vegetables.,a nice table full of fresh clean chairs.,0,5.334503821060951
a nice table full of fresh clean  vegetables.,a nice table full of fresh clean clothes.,0,2.665582759903481
a nice table full of fresh clean  vegetables.,a nice table full of fresh clean dishes.,1,1.6588755916469797
a nice table full of fresh clean  vegetables.,a nice table full of fresh clean glasses.,1,1.0729027547262806
a nice table full of fresh clean  vegetables.,a nice table full of fresh clean sheets.,0,2.387320798726509
a rose that is laying down on a bed.,a rose that is laying down on a bench.,1,1.1248581460120124
a rose that is laying down on a bed.,a rose that is laying down on a branch.,0,1.4470284566808098
a rose that is laying down on a bed.,a rose that is laying down on a chair.,1,1.7918137670992826
a rose that is laying down on a bed.,a rose that is laying down on a grave.,1,1.1749257166676939
a rose that is laying down on a bed.,a rose that is laying down on a rock.,1,1.1268869512655362
a very cute old looking suitcase with some writing on it.,a very cute old looking bag with some writing on it.,0,1.2841726705267216
a very cute old looking suitcase with some writing on it.,a very cute old looking board with some writing on it.,0,0.9448997762825588
a very cute old looking suitcase with some writing on it.,a very cute old looking book with some writing on it.,0,0.7479340163894839
a very cute old looking suitcase with some writing on it.,a very cute old looking box with some writing on it.,0,1.1748044738550625
a very cute old looking suitcase with some writing on it.,a very cute old looking desk with some writing on it.,0,0.17613397798975874
a very cute teddy bear holding a pen.,a very cute teddy bear holding a book.,1,7.845939831148195
a very cute teddy bear holding a pen.,a very cute teddy bear holding a camera.,1,0.22235729079141642
a very cute teddy bear holding a pen.,a very cute teddy bear holding a gun.,1,1.6220460846255904
a very cute teddy bear holding a pen.,a very cute teddy bear holding a knife.,1,0.7595118387977104
a very cute teddy bear holding a pen.,a very cute teddy bear holding a toy.,0,-0.7485835452995062
a white couch sitting under a large window.,a white couch sitting under a large canopy.,1,1.870745305503619
a white couch sitting under a large window.,a white couch sitting under a large desk.,1,1.4859040295823465
a white couch sitting under a large window.,a white couch sitting under a large fireplace.,1,0.4631669877671795
a white couch sitting under a large window.,a white couch sitting under a large mirror.,1,2.354118710256299
a white couch sitting under a large window.,a white couch sitting under a large rug.,1,2.100189923093894
a yellow and brown teddy bear sitting on a wooden chair.,a yellow and brown teddy bear sitting on a wooden bench.,1,0.5422520217820199
a yellow and brown teddy bear sitting on a wooden chair.,a yellow and brown teddy bear sitting on a wooden box.,0,1.6234048236074923
a yellow and brown teddy bear sitting on a wooden chair.,a yellow and brown teddy bear sitting on a wooden crate.,0,-1.2753493696469473
a yellow and brown teddy bear sitting on a wooden chair.,a yellow and brown teddy bear sitting on a wooden floor.,1,1.0323835793116314
a yellow and brown teddy bear sitting on a wooden chair.,a yellow and brown teddy bear sitting on a wooden shelf.,1,0.537286257593785
one zebra is lying down and another is standing near it.,one chair is lying down and another is standing near it.,0,1.5021280445411822
one zebra is lying down and another is standing near it.,one cow is lying down and another is standing near it.,0,0.7751637954846384
one zebra is lying down and another is standing near it.,one giraffe is lying down and another is standing near it.,0,1.1975967662579774
one zebra is lying down and another is standing near it.,one horse is lying down and another is standing near it.,0,1.3676132928887124
one zebra is lying down and another is standing near it.,one lion is lying down and another is standing near it.,0,1.2196537181434068
there is a animal walking down a narrow road.,there is a animal walking down a narrow corridor.,1,1.0769125565221893
there is a animal walking down a narrow road.,there is a animal walking down a narrow hallway.,1,0.7307140155330707
