input_text,target_text,success,semSR
a bench that is beautifully shaded by a tree.,a bench that is fully shaded by a tree.,0,-9.947645826
a bench that is beautifully shaded by a tree.,a bench that is heavily shaded by a tree.,0,7.093907018
a bench that is beautifully shaded by a tree.,a bench that is often shaded by a tree.,0,-0.161701545
a bench that is beautifully shaded by a tree.,a bench that is partially shaded by a tree.,0,0.127348003
a bench that is beautifully shaded by a tree.,a bench that is partly shaded by a tree.,0,-12.1412478
a cat is resting peacefully on a laptop while surfing the web.,a cat is resting angrily on a laptop while surfing the web.,0,-8.083130417
a cat is resting peacefully on a laptop while surfing the web.,a cat is resting asleep on a laptop while surfing the web.,0,-2.863881856
a cat is resting peacefully on a laptop while surfing the web.,a cat is resting comfortably on a laptop while surfing the web.,0,-6.670265148
a cat is resting peacefully on a laptop while surfing the web.,a cat is resting happily on a laptop while surfing the web.,0,-1.169259505
a cat is resting peacefully on a laptop while surfing the web.,a cat is resting lazily on a laptop while surfing the web.,0,13.42396942
a cat looking worryingly sitting on some books.,a cat looking angrily sitting on some books.,0,2.462204189
a cat looking worryingly sitting on some books.,a cat looking happily sitting on some books.,0,-2.775807366
a cat looking worryingly sitting on some books.,a cat looking intently sitting on some books.,0,17.12834089
a cat looking worryingly sitting on some books.,a cat looking lazily sitting on some books.,0,-4.567098167
a cat looking worryingly sitting on some books.,a cat looking peacefully sitting on some books.,0,-1.051447313
a cat sits in front of television intently looking at it.,a cat sits in front of television angrily looking at it.,0,0.451187133
a cat sits in front of television intently looking at it.,a cat sits in front of television closely looking at it.,0,-7.675447915
a cat sits in front of television intently looking at it.,a cat sits in front of television distantly looking at it.,0,9.040396751
a cat sits in front of television intently looking at it.,a cat sits in front of television happily looking at it.,0,5.157617559
a cat sits in front of television intently looking at it.,a cat sits in front of television lazily looking at it.,0,1.641368408
a church with a massively tall tower covered in a clock.,a church with a fairly tall tower covered in a clock.,0,4.975927029
a church with a massively tall tower covered in a clock.,a church with a lofty tall tower covered in a clock.,0,-6.134462972
a church with a massively tall tower covered in a clock.,a church with a relatively tall tower covered in a clock.,0,0.934090453
a church with a massively tall tower covered in a clock.,a church with a slightly tall tower covered in a clock.,0,5.49048403
a church with a massively tall tower covered in a clock.,a church with a very tall tower covered in a clock.,0,-5.537783448
a giraffe trying to cross a dirt road quickly.,a giraffe trying to cross a dirt road happily.,0,2.6249552
a giraffe trying to cross a dirt road quickly.,a giraffe trying to cross a dirt road lazily.,0,6.082288367
