input_text,target_text,success,semSR
a bird is flying over some rocky water.,a bird is flying over some black water.,1,-2.566302515079126
a bird is flying over some rocky water.,a bird is flying over some blue water.,0,0.6191874794024746
a bird is flying over some rocky water.,a bird is flying over some calm water.,1,2.2536373021670335
a bird is flying over some rocky water.,a bird is flying over some reflective water.,0,8.135329592014843
a bird is flying over some rocky water.,a bird is flying over some transparent water.,0,1.6434539989844184
a black kitten lays on her side beside remote controls.,a brown kitten lays on her side beside remote controls.,0,0.6660941371085667
a black kitten lays on her side beside remote controls.,a gray kitten lays on her side beside remote controls.,0,3.3360897215863945
a black kitten lays on her side beside remote controls.,a pink kitten lays on her side beside remote controls.,0,2.1130985996823184
a black kitten lays on her side beside remote controls.,a white kitten lays on her side beside remote controls.,1,1.6134035912469489
a black kitten lays on her side beside remote controls.,a yellow kitten lays on her side beside remote controls.,0,1.8047805675658277
"a blurry image of pizza with a fork, knife and drink.","a cheesy image of pizza with a fork, knife and drink.",1,0.8054307056114617
"a blurry image of pizza with a fork, knife and drink.","a clear image of pizza with a fork, knife and drink.",1,-0.048741675279329114
"a blurry image of pizza with a fork, knife and drink.","a dirty image of pizza with a fork, knife and drink.",1,-1.4250098308255938
"a blurry image of pizza with a fork, knife and drink.","a fresh image of pizza with a fork, knife and drink.",0,-0.7395529306586598
"a blurry image of pizza with a fork, knife and drink.","a smoky image of pizza with a fork, knife and drink.",1,0.9413776588350388
a brown cow lays down in the grass.,a black cow lays down in the grass.,0,5.855649847649845
a brown cow lays down in the grass.,a gray cow lays down in the grass.,0,0.2880295328456256
a brown cow lays down in the grass.,a pink cow lays down in the grass.,1,-1.6080757491758497
a brown cow lays down in the grass.,a white cow lays down in the grass.,1,4.0712926829020075
a brown cow lays down in the grass.,a yellow cow lays down in the grass.,1,7.155551469077532
a cat laying on a bench like it was sleepy.,a cat laying on a bench like it was angry.,0,0.0
a cat laying on a bench like it was sleepy.,a cat laying on a bench like it was dead.,0,8.73730015202424
a cat laying on a bench like it was sleepy.,a cat laying on a bench like it was happy.,0,0.07430553946904339
a cat laying on a bench like it was sleepy.,a cat laying on a bench like it was lazy.,0,0.4339964899575823
a cat laying on a bench like it was sleepy.,a cat laying on a bench like it was sad.,0,-6.690566636778848
a crystal bowl filled with oranges on top of a table.,a black bowl filled with oranges on top of a table.,0,0.07023986839690463
a crystal bowl filled with oranges on top of a table.,a green bowl filled with oranges on top of a table.,1,1.652602884216778
a crystal bowl filled with oranges on top of a table.,a large bowl filled with oranges on top of a table.,0,0.22113540690150693
a crystal bowl filled with oranges on top of a table.,a small bowl filled with oranges on top of a table.,0,6.895319060437444
a crystal bowl filled with oranges on top of a table.,a wooden bowl filled with oranges on top of a table.,0,-2.444534373538155
a dog with a lazy look lying on a bed.,a dog with a angry look lying on a bed.,0,0.29535120341842996
a dog with a lazy look lying on a bed.,a dog with a funny look lying on a bed.,1,1.6370012329331174
a dog with a lazy look lying on a bed.,a dog with a happy look lying on a bed.,1,-0.42411950278612104
a dog with a lazy look lying on a bed.,a dog with a sad look lying on a bed.,1,9.53567937555334
a dog with a lazy look lying on a bed.,a dog with a sleepy look lying on a bed.,0,-2.695844963741362
a gray bicycle is locked to some metal doors.,a black bicycle is locked to some metal doors.,0,-3.4386676470302313
a gray bicycle is locked to some metal doors.,a blue bicycle is locked to some metal doors.,0,2.3988972746310635
