input_text,target_text,success,semSR
a bench that is beautifully shaded by a tree.,a bench that is fully shaded by a tree.,0,0.0
a bench that is beautifully shaded by a tree.,a bench that is heavily shaded by a tree.,0,4.798358999451618
a bench that is beautifully shaded by a tree.,a bench that is often shaded by a tree.,0,-4.911051602298336
a bench that is beautifully shaded by a tree.,a bench that is partially shaded by a tree.,0,-1.9303726141308502
a bench that is beautifully shaded by a tree.,a bench that is partly shaded by a tree.,0,7.259694656511654
a cat is resting peacefully on a laptop while surfing the web.,a cat is resting angrily on a laptop while surfing the web.,0,-1.1558555445653864
a cat is resting peacefully on a laptop while surfing the web.,a cat is resting asleep on a laptop while surfing the web.,0,6.141079317746387
a cat is resting peacefully on a laptop while surfing the web.,a cat is resting comfortably on a laptop while surfing the web.,0,-4.138945745274751
a cat is resting peacefully on a laptop while surfing the web.,a cat is resting happily on a laptop while surfing the web.,0,8.829157103245304
a cat is resting peacefully on a laptop while surfing the web.,a cat is resting lazily on a laptop while surfing the web.,0,1.408491388893827
a cat looking worryingly sitting on some books.,a cat looking angrily sitting on some books.,0,-4.666841655648087
a cat looking worryingly sitting on some books.,a cat looking happily sitting on some books.,0,10.561968040491827
a cat looking worryingly sitting on some books.,a cat looking intently sitting on some books.,0,-4.631692767778024
a cat looking worryingly sitting on some books.,a cat looking lazily sitting on some books.,0,1.8572799401577036
a cat looking worryingly sitting on some books.,a cat looking peacefully sitting on some books.,0,-10.090696586761855
a cat sits in front of television intently looking at it.,a cat sits in front of television angrily looking at it.,0,-8.244840143229352
a cat sits in front of television intently looking at it.,a cat sits in front of television closely looking at it.,0,-8.539614776300713
a cat sits in front of television intently looking at it.,a cat sits in front of television distantly looking at it.,0,-5.942891694515591
a cat sits in front of television intently looking at it.,a cat sits in front of television happily looking at it.,0,4.189670913099565
a cat sits in front of television intently looking at it.,a cat sits in front of television lazily looking at it.,0,-21.599035387094453
a church with a massively tall tower covered in a clock.,a church with a fairly tall tower covered in a clock.,0,3.0927951919886247
a church with a massively tall tower covered in a clock.,a church with a lofty tall tower covered in a clock.,0,-0.3546082766340268
a church with a massively tall tower covered in a clock.,a church with a relatively tall tower covered in a clock.,0,1.338799431755038
a church with a massively tall tower covered in a clock.,a church with a slightly tall tower covered in a clock.,0,13.687160764103904
a church with a massively tall tower covered in a clock.,a church with a very tall tower covered in a clock.,0,-0.770593434551061
a giraffe trying to cross a dirt road quickly.,a giraffe trying to cross a dirt road happily.,0,31.318624514113857
