input_text,target_text,success,semSR
a black and white cat hugging a handbag.,a black and white cat carrying a handbag.,1,0.186859518
a black and white cat hugging a handbag.,a black and white cat following a handbag.,0,-2.215828088
a black and white cat hugging a handbag.,a black and white cat hiding a handbag.,0,1.05441578
a black and white cat hugging a handbag.,a black and white cat sitting a handbag.,0,-0.119315706
a black and white cat hugging a handbag.,a black and white cat watching a handbag.,0,-1.160446918
a black duck floating in a wavy pond.,a black duck eating in a wavy pond.,0,-2.350463321
a black duck floating in a wavy pond.,a black duck fishing in a wavy pond.,0,0.392367398
a black duck floating in a wavy pond.,a black duck flying in a wavy pond.,0,1.369759461
a black duck floating in a wavy pond.,a black duck landing in a wavy pond.,0,1.021697704
a black duck floating in a wavy pond.,a black duck playing in a wavy pond.,0,2.223660761
a boy balancing on a skateboard in a parking lot.,a boy carrying on a skateboard in a parking lot.,0,-31.46760264
a boy balancing on a skateboard in a parking lot.,a boy jumping on a skateboard in a parking lot.,0,2.624883303
a boy balancing on a skateboard in a parking lot.,a boy riding on a skateboard in a parking lot.,0,-10.0832641
a boy balancing on a skateboard in a parking lot.,a boy sitting on a skateboard in a parking lot.,0,0.87228434
a boy balancing on a skateboard in a parking lot.,a boy standing on a skateboard in a parking lot.,0,1.527359108
a brown bear investigating something on top of a rock.,a brown bear carrying something on top of a rock.,0,2.997606808
a brown bear investigating something on top of a rock.,a brown bear dropping something on top of a rock.,0,2.113115326
a brown bear investigating something on top of a rock.,a brown bear eating something on top of a rock.,0,2.575883123
a brown bear investigating something on top of a rock.,a brown bear hiding something on top of a rock.,0,9.287145598
a brown bear investigating something on top of a rock.,a brown bear kicking something on top of a rock.,0,8.941703855
a bunch of birds sitting in a bread basket.,a bunch of birds hiding in a bread basket.,0,9.509422639
a bunch of birds sitting in a bread basket.,a bunch of birds lying in a bread basket.,0,-0.748467661
a bunch of birds sitting in a bread basket.,a bunch of birds nesting in a bread basket.,0,1.295473073
a bunch of birds sitting in a bread basket.,a bunch of birds sleeping in a bread basket.,0,-0.335584444
a bunch of birds sitting in a bread basket.,a bunch of birds standing in a bread basket.,0,8.815609654
a cat chases a computer mouse across the floor.,a cat carrying a computer mouse across the floor.,1,0.05951683
a cat chases a computer mouse across the floor.,a cat kicking a computer mouse across the floor.,0,4.124270865
a cat chases a computer mouse across the floor.,a cat sliding a computer mouse across the floor.,0,-2.246972142
a cat chases a computer mouse across the floor.,a cat tossed a computer mouse across the floor.,0,-0.114446794
a cat chases a computer mouse across the floor.,a cat watching a computer mouse across the floor.,0,0.686330565
a cat in a living room with a burning fireplace.,a cat in a living room with a cooled fireplace.,0,3.079391852
a cat in a living room with a burning fireplace.,a cat in a living room with a cozy fireplace.,0,3.127887718
a cat in a living room with a burning fireplace.,a cat in a living room with a floating fireplace.,0,6.027290976
a cat in a living room with a burning fireplace.,a cat in a living room with a outed fireplace.,0,3.14446377
a cat in a living room with a burning fireplace.,a cat in a living room with a painting fireplace.,0,11.97385076
a cat napping inside of a large planter.,a cat eating inside of a large planter.,0,0.161335893
a cat napping inside of a large planter.,a cat hiding inside of a large planter.,0,3.234893717
a cat napping inside of a large planter.,a cat playing inside of a large planter.,0,1.329604212
a cat napping inside of a large planter.,a cat sitting inside of a large planter.,0,1.206741399
a cat napping inside of a large planter.,a cat watching inside of a large planter.,1,1.781757612
