input_text,target_text,success,semSR
a black and white cat hugging a handbag.,a black and white cat carrying a handbag.,1,1.13693982882257
a black and white cat hugging a handbag.,a black and white cat following a handbag.,0,-1.965155060042099
a black and white cat hugging a handbag.,a black and white cat hiding a handbag.,0,-10.045192433230019
a black and white cat hugging a handbag.,a black and white cat sitting a handbag.,0,-2.7442726343686124
a black and white cat hugging a handbag.,a black and white cat watching a handbag.,0,8.349356463470228
a black duck floating in a wavy pond.,a black duck eating in a wavy pond.,0,1.2055368129000164
a black duck floating in a wavy pond.,a black duck fishing in a wavy pond.,1,-0.40316969042657913
a black duck floating in a wavy pond.,a black duck flying in a wavy pond.,0,0.7704449437408387
a black duck floating in a wavy pond.,a black duck landing in a wavy pond.,0,-1.1017913034626958
a black duck floating in a wavy pond.,a black duck playing in a wavy pond.,0,-19.080829760570303
a boy balancing on a skateboard in a parking lot.,a boy carrying on a skateboard in a parking lot.,0,-3.572880766839746
a boy balancing on a skateboard in a parking lot.,a boy jumping on a skateboard in a parking lot.,0,-0.018366956951464914
a boy balancing on a skateboard in a parking lot.,a boy riding on a skateboard in a parking lot.,0,4.496210948923229
a boy balancing on a skateboard in a parking lot.,a boy sitting on a skateboard in a parking lot.,0,0.5326850213170113
a boy balancing on a skateboard in a parking lot.,a boy standing on a skateboard in a parking lot.,0,11.96188842609865
a brown bear investigating something on top of a rock.,a brown bear carrying something on top of a rock.,0,4.338838456186344
a brown bear investigating something on top of a rock.,a brown bear dropping something on top of a rock.,0,2.540066717736608
a brown bear investigating something on top of a rock.,a brown bear eating something on top of a rock.,0,4.146766048161458
a brown bear investigating something on top of a rock.,a brown bear hiding something on top of a rock.,0,10.303534453575425
a brown bear investigating something on top of a rock.,a brown bear kicking something on top of a rock.,0,1.8051907028787437
a bunch of birds sitting in a bread basket.,a bunch of birds hiding in a bread basket.,0,1.1497965810428543
a bunch of birds sitting in a bread basket.,a bunch of birds lying in a bread basket.,0,-6.7573049234812315
a bunch of birds sitting in a bread basket.,a bunch of birds nesting in a bread basket.,0,-2.748282695604631
a bunch of birds sitting in a bread basket.,a bunch of birds sleeping in a bread basket.,0,0.0
