input_text,target_text,success,semSR
a baseball player wearing number 10 hitting a ball.,a baseball player wearing number 1 hitting a ball.,0,0.0
a baseball player wearing number 10 hitting a ball.,a baseball player wearing number 2 hitting a ball.,0,1.334399397556011
a baseball player wearing number 10 hitting a ball.,a baseball player wearing number 4 hitting a ball.,0,9.665935201400874
a baseball player wearing number 10 hitting a ball.,a baseball player wearing number 5 hitting a ball.,0,-12.61667043175697
a baseball player wearing number 10 hitting a ball.,a baseball player wearing number 6 hitting a ball.,0,7.719981500818861
a bench next to three potted plants.,a bench next to five potted plants.,0,3.337101660998408
a bench next to three potted plants.,a bench next to four potted plants.,0,-14.487769557298453
a bench next to three potted plants.,a bench next to seven potted plants.,0,3.7745794374612736
a bench next to three potted plants.,a bench next to six potted plants.,0,-6.569123041836805
a bench next to three potted plants.,a bench next to two potted plants.,0,6.492854241450111
a polar bear is walking on snow and has one paw up in the air.,a polar bear is walking on snow and has five paw up in the air.,0,0.8172961802945871
a polar bear is walking on snow and has one paw up in the air.,a polar bear is walking on snow and has four paw up in the air.,0,10.919294102618153
a polar bear is walking on snow and has one paw up in the air.,a polar bear is walking on snow and has six paw up in the air.,0,18.492674168619295
a polar bear is walking on snow and has one paw up in the air.,a polar bear is walking on snow and has three paw up in the air.,0,21.214417059503614
a polar bear is walking on snow and has one paw up in the air.,a polar bear is walking on snow and has two paw up in the air.,0,7.525618628861802
a small pizza cut in six sits on a plate.,a small pizza cut in five sits on a plate.,0,8.950616569594345
a small pizza cut in six sits on a plate.,a small pizza cut in four sits on a plate.,0,-6.213608925229689
a small pizza cut in six sits on a plate.,a small pizza cut in one sits on a plate.,0,-2.6160680608175353
a small pizza cut in six sits on a plate.,a small pizza cut in three sits on a plate.,0,-4.014530314498943
a small pizza cut in six sits on a plate.,a small pizza cut in two sits on a plate.,0,-17.882711405681725
a table topped with six glasses of booze.,a table topped with five glasses of booze.,0,11.621174748012184
a table topped with six glasses of booze.,a table topped with four glasses of booze.,0,3.2694082715897976
a table topped with six glasses of booze.,a table topped with seven glasses of booze.,0,16.63683858034983
a table topped with six glasses of booze.,a table topped with three glasses of booze.,0,3.1459704937576602
a table topped with six glasses of booze.,a table topped with two glasses of booze.,0,2.539857908564982
