input_text,target_text,success,semSR
an open laptop sitting on a wooden desk.,an open laptop sitting on a wooden bench.,1,1.176357880554603
an open laptop sitting on a wooden desk.,an open laptop sitting on a wooden chair.,1,1.4029791676589916
an open laptop sitting on a wooden desk.,an open laptop sitting on a wooden counter.,1,2.663022964942335
an open laptop sitting on a wooden desk.,an open laptop sitting on a wooden shelf.,0,0.0
an open laptop sitting on a wooden desk.,an open laptop sitting on a wooden stool.,1,2.979408186185237
a big plane gets ready to take off .,a big bird gets ready to take off.,1,1.2799231772915634
a big plane gets ready to take off .,a big helicopter gets ready to take off.,0,0.0
a big plane gets ready to take off .,a big motorcycle gets ready to take off.,1,1.3165609027554257
a big plane gets ready to take off .,a big ship gets ready to take off.,0,27.658205560966138
a big plane gets ready to take off .,a big truck gets ready to take off.,1,1.4408296831703713
a blue teddy bear sitting of a tricycle.,a blue teddy bear sitting of a box.,0,10.119765309180162
a blue teddy bear sitting of a tricycle.,a blue teddy bear sitting of a chair.,0,-14.491903300832107
a blue teddy bear sitting of a tricycle.,a blue teddy bear sitting of a suitcase.,1,-4.466116166556696
a blue teddy bear sitting of a tricycle.,a blue teddy bear sitting of a throne.,0,2.6953247902441126
a blue teddy bear sitting of a tricycle.,a blue teddy bear sitting of a tree.,0,6.701933122956684
a brown teddy bear hanging from a green sign.,a brown teddy bear hanging from a green chain.,1,1.080827017319845
a brown teddy bear hanging from a green sign.,a brown teddy bear hanging from a green cord.,0,0.27666212004266183
a brown teddy bear hanging from a green sign.,a brown teddy bear hanging from a green rope.,0,-0.5312765570309297
a brown teddy bear hanging from a green sign.,a brown teddy bear hanging from a green string.,1,0.580251527584737
a brown teddy bear hanging from a green sign.,a brown teddy bear hanging from a green vine.,1,1.6706654689162845
a brown teddy bear sitting inside of a sock.,a brown teddy bear sitting inside of a box.,1,-0.9848403397453698
a brown teddy bear sitting inside of a sock.,a brown teddy bear sitting inside of a car.,1,0.6653423178714674
a brown teddy bear sitting inside of a sock.,a brown teddy bear sitting inside of a chair.,1,0.7366135598771366
a brown teddy bear sitting inside of a sock.,a brown teddy bear sitting inside of a refrigerator.,1,2.451609971552851
a brown teddy bear sitting inside of a sock.,a brown teddy bear sitting inside of a truck.,1,1.2883799618852831
a brown teddy bear sitting inside of a straw basket.,a brown teddy bear sitting inside of a straw bag.,1,1.809600620203023
a brown teddy bear sitting inside of a straw basket.,a brown teddy bear sitting inside of a straw bowl.,0,1.4346816128690367
a brown teddy bear sitting inside of a straw basket.,a brown teddy bear sitting inside of a straw box.,0,1.7352119627799074
a brown teddy bear sitting inside of a straw basket.,a brown teddy bear sitting inside of a straw chair.,1,3.995220618765585
a brown teddy bear sitting inside of a straw basket.,a brown teddy bear sitting inside of a straw rug.,0,0.0
a close up of a kite partially buried in sand.,a close up of a kite partially buried in concrete.,1,0.24393535058687005
a close up of a kite partially buried in sand.,a close up of a kite partially buried in gravel.,0,9.463418126677066
a close up of a kite partially buried in sand.,a close up of a kite partially buried in ice.,1,1.784594737728701
a close up of a kite partially buried in sand.,a close up of a kite partially buried in mud.,0,2.9598574152330994
a close up of a kite partially buried in sand.,a close up of a kite partially buried in water.,0,2.497803579674504
a cute little teddy bear sitting on a wooden table.,a cute little teddy bear sitting on a wooden box.,0,-1.435913591078632
