input_text,target_text,success,semSR
a bench that is beautifully shaded by a tree.,a bench that is fully shaded by a tree.,0,-9.947645825978313
a bench that is beautifully shaded by a tree.,a bench that is heavily shaded by a tree.,0,7.0939070179613
a bench that is beautifully shaded by a tree.,a bench that is often shaded by a tree.,0,-0.1617015452806358
a bench that is beautifully shaded by a tree.,a bench that is partially shaded by a tree.,0,0.1273480030920715
a bench that is beautifully shaded by a tree.,a bench that is partly shaded by a tree.,0,-12.14124780452547
a cat is resting peacefully on a laptop while surfing the web.,a cat is resting angrily on a laptop while surfing the web.,0,-8.083130416795246
a cat is resting peacefully on a laptop while surfing the web.,a cat is resting asleep on a laptop while surfing the web.,0,-2.863881855563025
a cat is resting peacefully on a laptop while surfing the web.,a cat is resting comfortably on a laptop while surfing the web.,0,-6.67026514838336
a cat is resting peacefully on a laptop while surfing the web.,a cat is resting happily on a laptop while surfing the web.,0,-1.169259505344894
a cat is resting peacefully on a laptop while surfing the web.,a cat is resting lazily on a laptop while surfing the web.,0,13.423969424390837
a cat looking worryingly sitting on some books.,a cat looking angrily sitting on some books.,0,2.4622041885922776
a cat looking worryingly sitting on some books.,a cat looking happily sitting on some books.,0,-2.7758073660379567
a cat looking worryingly sitting on some books.,a cat looking intently sitting on some books.,0,17.1283408920544
a cat looking worryingly sitting on some books.,a cat looking lazily sitting on some books.,0,-4.567098167213209
a cat looking worryingly sitting on some books.,a cat looking peacefully sitting on some books.,0,-1.0514473127774124
a cat sits in front of television intently looking at it.,a cat sits in front of television angrily looking at it.,0,0.45118713269236255
a cat sits in front of television intently looking at it.,a cat sits in front of television closely looking at it.,0,-7.675447915053172
a cat sits in front of television intently looking at it.,a cat sits in front of television distantly looking at it.,0,9.040396751415328
a cat sits in front of television intently looking at it.,a cat sits in front of television happily looking at it.,0,5.157617559474033
a cat sits in front of television intently looking at it.,a cat sits in front of television lazily looking at it.,0,1.641368407999154
a church with a massively tall tower covered in a clock.,a church with a fairly tall tower covered in a clock.,0,4.975927028842108
a church with a massively tall tower covered in a clock.,a church with a lofty tall tower covered in a clock.,0,-6.134462971814289
a church with a massively tall tower covered in a clock.,a church with a relatively tall tower covered in a clock.,0,0.9340904527692231
a church with a massively tall tower covered in a clock.,a church with a slightly tall tower covered in a clock.,0,5.490484029684529
a church with a massively tall tower covered in a clock.,a church with a very tall tower covered in a clock.,0,-5.537783447564311
a giraffe trying to cross a dirt road quickly.,a giraffe trying to cross a dirt road happily.,0,2.6249552003798877
a giraffe trying to cross a dirt road quickly.,a giraffe trying to cross a dirt road lazily.,0,6.082288366571417
a giraffe trying to cross a dirt road quickly.,a giraffe trying to cross a dirt road slowly.,0,-6.578725322048305
a giraffe trying to cross a dirt road quickly.,a giraffe trying to cross a dirt road unhurriedly.,0,21.864571341466153
a giraffe trying to cross a dirt road quickly.,a giraffe trying to cross a dirt road vigilantly.,0,-5.234733487061472
a herd of cattle and horses roaming freely in a field.,a herd of cattle and horses roaming alone in a field.,0,-0.5405007524066618
a herd of cattle and horses roaming freely in a field.,a herd of cattle and horses roaming lazily in a field.,0,2.169413914310248
a herd of cattle and horses roaming freely in a field.,a herd of cattle and horses roaming peacefully in a field.,0,-0.36459979093447775
a herd of cattle and horses roaming freely in a field.,a herd of cattle and horses roaming together in a field.,0,8.997669560840428
a herd of cattle and horses roaming freely in a field.,a herd of cattle and horses roaming widely in a field.,0,13.23442807060982
a pile of nearly ripe bananas sitting next to each other.,a pile of beautifully ripe bananas sitting next to each other.,0,0.8701409220237322
a pile of nearly ripe bananas sitting next to each other.,a pile of partially ripe bananas sitting next to each other.,0,4.389484585726525
a pile of nearly ripe bananas sitting next to each other.,a pile of perfectly ripe bananas sitting next to each other.,0,10.515771604462778
a pile of nearly ripe bananas sitting next to each other.,a pile of slightly ripe bananas sitting next to each other.,0,8.83908475934879
a pile of nearly ripe bananas sitting next to each other.,a pile of very ripe bananas sitting next to each other.,0,-19.407321424978058
a train passing through a lightly wooded area.,a train passing through a deeply wooded area.,0,3.111792195934974
a train passing through a lightly wooded area.,a train passing through a densely wooded area.,0,6.810002674689218
a train passing through a lightly wooded area.,a train passing through a heavily wooded area.,0,-4.739067764310055
