input_text,target_text,success,semSR
"a big, old, dirty, yellow Mercedes work truck.","a big, old, dirty, yellow Chevy work truck.",0,0.513542275
"a big, old, dirty, yellow Mercedes work truck.","a big, old, dirty, yellow Chinese work truck.",0,11.81109476
"a big, old, dirty, yellow Mercedes work truck.","a big, old, dirty, yellow Christmas work truck.",0,-1.08430975
"a big, old, dirty, yellow Mercedes work truck.","a big, old, dirty, yellow Ford work truck.",0,1.518854455
"a big, old, dirty, yellow Mercedes work truck.","a big, old, dirty, yellow Honda work truck.",0,0.046777364
a bunch of people standing in the street near the White-House.,a bunch of people standing in the street near the Amazon.,1,0.884695179
a bunch of people standing in the street near the White-House.,a bunch of people standing in the street near the Chinese.,1,1.044892695
a bunch of people standing in the street near the White-House.,a bunch of people standing in the street near the Halloween.,0,4.735458118
a bunch of people standing in the street near the White-House.,a bunch of people standing in the street near the Honda.,0,0
a bunch of people standing in the street near the White-House.,a bunch of people standing in the street near the Mercedes.,0,4.409424941
a dog in a Santa hat on a pillow.,a dog in a Bowler hat on a pillow.,0,3.393879161
a dog in a Santa hat on a pillow.,a dog in a Chinese hat on a pillow.,0,-2.152381947
a dog in a Santa hat on a pillow.,a dog in a Christmas hat on a pillow.,0,-1.199702224
a dog in a Santa hat on a pillow.,a dog in a Floppy hat on a pillow.,1,1.989578535
a dog in a Santa hat on a pillow.,a dog in a Halloween hat on a pillow.,0,1.068422236
a hand holding a Blackberry phone taking a picture.,a hand holding a Chinese phone taking a picture.,1,1.991645973
a hand holding a Blackberry phone taking a picture.,a hand holding a Christmas phone taking a picture.,0,0
a hand holding a Blackberry phone taking a picture.,a hand holding a Mercedes phone taking a picture.,1,-0.992098914
a hand holding a Blackberry phone taking a picture.,a hand holding a Mobile phone taking a picture.,0,0
a hand holding a Blackberry phone taking a picture.,a hand holding a Santa phone taking a picture.,0,0
a Honda motorcycle with a helmet on the back is parked outside.,a Batman motorcycle with a helmet on the back is parked outside.,0,0
a Honda motorcycle with a helmet on the back is parked outside.,a Chinese motorcycle with a helmet on the back is parked outside.,0,-4.03453679
a Honda motorcycle with a helmet on the back is parked outside.,a Gray motorcycle with a helmet on the back is parked outside.,0,-3.384382461
a Honda motorcycle with a helmet on the back is parked outside.,a Mercedes motorcycle with a helmet on the back is parked outside.,1,3.843185541
a Honda motorcycle with a helmet on the back is parked outside.,a Santa motorcycle with a helmet on the back is parked outside.,1,-0.631999837
a lady in a black and orange Halloween costume.,a lady in a black and orange Batman costume.,0,-9.212734118
a lady in a black and orange Halloween costume.,a lady in a black and orange Chinese costume.,1,1.474162493
a lady in a black and orange Halloween costume.,a lady in a black and orange Christmas costume.,1,-0.709380569
a lady in a black and orange Halloween costume.,a lady in a black and orange Fairy costume.,1,0.62853224
a lady in a black and orange Halloween costume.,a lady in a black and orange Santa costume.,0,0.355599126
a large building has a Glass business logo on it.,a large building has a Chinese business logo on it.,1,2.035997089
a large building has a Glass business logo on it.,a large building has a Christmas business logo on it.,1,1.226172408
a large building has a Glass business logo on it.,a large building has a Honda business logo on it.,0,2.585959472
a large building has a Glass business logo on it.,a large building has a Mercedes business logo on it.,0,0.990817488
a large building has a Glass business logo on it.,a large building has a Microsoft business logo on it.,0,-3.223443584
a large tour bus decorated with Coca-Cola logos.,a large tour bus decorated with Chinese logos.,0,1.073814209
a large tour bus decorated with Coca-Cola logos.,a large tour bus decorated with Disney logos.,0,0
a large tour bus decorated with Coca-Cola logos.,a large tour bus decorated with Honda logos.,0,0.683285445
a large tour bus decorated with Coca-Cola logos.,a large tour bus decorated with Microsoft logos.,0,1.757395447
a large tour bus decorated with Coca-Cola logos.,a large tour bus decorated with Nazi logos.,0,0.952809608
"a mouse sitting on book, with a Microsoft logo on it.","a mouse sitting on book, with a Batman logo on it.",0,2.688819567
"a mouse sitting on book, with a Microsoft logo on it.","a mouse sitting on book, with a Chinese logo on it.",1,0.922426728
"a mouse sitting on book, with a Microsoft logo on it.","a mouse sitting on book, with a Google logo on it.",0,0.977985844
